Date,CALAVO GROWERS INC##,Fresh Del Monte Produce Inc. Common Stock,Chipotle Mexican Grill Inc. Common Stock,Sysco Corporation Common Stock
6/20/2018,94.5000,44.5700,465.5000,67.4200
6/19/2018,92.5000,44.7800,469.2200,66.9000
6/18/2018,91.3000,44.2600,468.4600,66.7500
6/15/2018,91.6000,44.3200,462.0100,66.8900
6/14/2018,91.4500,43.8500,460.4400,66.4800
6/13/2018,88.2500,43.8300,457.3000,65.8900
6/12/2018,84.9000,43.7300,466.3000,66.2200
6/11/2018,83.8500,43.9600,466.6400,66.4100
6/8/2018,85.1000,43.4800,453.3800,66.1500
6/7/2018,84.0000,43.4300,448.2800,65.7600
6/6/2018,88.6500,45.0000,453.8200,65.7800
6/5/2018,89.5000,44.8000,453.3400,65.8300
6/4/2018,88.6000,44.7200,443.8300,65.7400
6/1/2018,89.5000,44.6600,438.6200,65.4100
5/31/2018,88.0000,44.9100,430.1800,65.0300
5/30/2018,89.0000,45.5900,436.6100,66.0500
5/29/2018,89.3500,45.3900,433.0100,65.1500
5/28/2018,88.7250,45.3600,430.9850,65.0850
5/25/2018,88.1000,45.3300,428.9600,65.0200
5/24/2018,87.9500,45.2200,433.4300,64.5900
5/23/2018,94.0500,45.6700,435.5100,64.1000
5/22/2018,93.2500,46.0100,433.4400,63.6900
5/21/2018,97.0000,46.5200,433.8600,63.6400
5/18/2018,93.6000,46.3700,431.9500,63.5400
5/17/2018,93.4000,47.0200,438.5800,63.8600
5/16/2018,96.6500,47.0700,444.6700,63.3500
5/15/2018,93.7000,47.0600,426.5600,62.9500
5/14/2018,91.5000,47.0500,425.0600,62.9000
5/11/2018,94.0000,47.5600,424.9000,62.8200
5/10/2018,94.3000,47.5600,422.6700,62.7400
5/9/2018,95.0500,47.1100,424.6900,63.5000
5/8/2018,94.4500,47.3300,424.4200,62.7400
5/7/2018,94.5500,48.2900,419.6200,63.4800
5/4/2018,93.9500,48.5600,420.4100,62.2900
5/3/2018,91.8500,47.8000,419.4200,62.1800
5/2/2018,93.4000,49.3800,421.2200,62.8100
5/1/2018,92.2500,51.8100,426.0100,63.0900
4/30/2018,93.7000,49.1500,423.3300,62.5400
4/27/2018,96.3500,50.0200,427.3500,63.3800
4/26/2018,97.4500,50.1100,422.5000,62.9500
4/25/2018,96.3000,49.7700,339.5200,62.4500
4/24/2018,95.3500,49.6300,333.1000,61.9300
4/23/2018,94.8000,49.7100,330.7100,61.3400
4/20/2018,95.5500,49.4600,331.9500,61.1500
4/19/2018,97.5500,49.5300,338.4600,61.5800
4/18/2018,98.1000,50.2800,339.3600,61.8500
